HudNum,city,CocState
TX-503,Austin,TX
CA-529,LAKEPORT,CA
MD-511,DENTON,MD
CA-604,Bakersfield,CA
CA-509,Ukiah,CA
WA-501,Bremerton,WA
CA-600,Los Angeles,CA
GA-500,Atlanta,GA
AL-504,,AL
SC-502,,SC
NC-502,Durham,NC
PR-502,,PR
KY-500,,KY
TN-512,,TN
TN-507,JACKSON,TN
TN-506,COOKEVILLE,TN
TN-504,Nashville,TN
TN-503,Hohlenwald,TN
TN-501,Memphis,TN
SC-501,SPARTANBURG,SC
SC-500,,SC
PR-503,San Juan,PR
NC-513,,NC
NC-511,,NC
NC-509,BELMONT,NC
NC-507,,NC
NC-504,,NC
KS-507,LEAVENWORTH,KS
NC-503,LILLINGTON,NC
MO-604M,KANSAS CITY,MO
NC-501,,NC
NC-500,WINSTON SALEM,NC
MS-503,Ocean Springs,MS
MS-501,,MS
VT-500,WHITE RIV JCT,VT
MS-500,JACKSON,MS
KY-502,LEXINGTON,KY
KY-501,LOUISVILLE,KY
GA-501,Cartersville,GA
CA-607,,CA
CA-526,Jackson,CA
NH-500,CLAREMONT,NH
VT-501,BURLINGTON,VT
OK-503,El Reno,OK
VA-504,CHARLOTTESVLE,VA
TX-603,EL PASO,TX
OR-507,,OR
NJ-514,,NJ
GA-505,,GA
GA-503,Athens,GA
FL-606,Naples,FL
FL-603,,FL
FL-602,PORT CHARLOTTE,FL
FL-601,Fort Lauderdale,FL
FL-600,MIAMI,FL
FL-520,HOMOSASSA,FL
FL-519,,FL
FL-518,,FL
FL-515,Marianna,FL
FL-514,OCALA,FL
FL-511,,FL
FL-508,GAINESVILLE,FL
FL-506,TALLAHASSEE,FL
FL-504,,FL
FL-503,Lakeland,FL
CA-512,Redwood City,CA
CA-522,EUREKA,CA
FL-501,Tampa,FL
AL-507,,AL
OK-505,Tahlequah,OK
AR-503,PARAGOULD,AR
AL-500,Birmingham,AL
MA-510,,MA
MA-519,,MA
MA-516,LOWELL,MA
MA-509,CAMBRIDGE,MA
CT-503,BRIDGEPORT,CT
VA-513,Woodstock,VA
VA-505,,VA
OR-503,BEND,OR
MD-501,BALTIMORE,MD
WA-500,"Renton,",WA
ME-500,Bangor,ME
OR-504,Salem,OR
MA-515,Fall River,MA
CO-504,,CO
WY-500,SHERIDAN,WY
CO-500,Cortez,CO
NM-500,,NM
TX-607,DENTON,TX
LA-503,,LA
WI-502,RACINE,WI
PA-508,SCRANTON,PA
PA-503,,PA
NM-501,SANTA FE,NM
NY-603,New York,NY
NY-525,Newburgh,NY
OH-504,Youngstown,OH
MN-505,Little Falls,MN
NY-600,Brooklyn,NY
IL-503,CHAMPAIGN,IL
PA-504,NORRISTOWN,PA
CA-530,Bishop,CA
CA-520,Los Banos,CA
OH-508,Ravenna,OH
IL-517,,IL
TX-604,WACO,TX
IN-502,MUNCIE,IN
IL-502,,IL
CA-524,Marysville,CA
MT-500,KALISPELL,MT
CA-515,,CA
MI-500,,MI
PA-510,Elizabethtown,PA
PA-506,READING,PA
CA-611,Ventura,CA
RI-500,Westerly,RI
NH-501,MANCHESTER,NH
MA-507,PITTSFIELD,MA
MA-500,Boston,MA
IA-501,,IA
CT-505,XXX,CT
UT-500,Salt Lake City,UT
OK-502,OKLAHOMA CITY,OK
CO-503,,CO
