city,Population (2013),Budget,Mayor,Took office,Term ends,Government type,City elections in 2021?,Mayoral election in 2021?,rank,usps,pop2021,pop2010,growth,density,aland_sqmi,Rank_y,2010 population,2012 population,Growth / Decline,Jan,April,July,Oct ,Precip “,precip days,snowfall
New York,8405837,"$73,000,000,000",Bill de Blasio (D),2014,2022,Strong mayor,Yes,Yes,1,NY,8230290,8190210,0.0049,27400,300.381,1.0,8175133.0,8336697.0,161564.0,32.1,52.5,76.5,56.6,49.69,121.0,28.6
Los Angeles,3884307,"$8,100,000,000",Eric Garcetti (D),2013,2022,Strong mayor,No,No,2,CA,3983540,3795510,0.0495,8494,468.956,2.0,3792621.0,3857799.0,65178.0,57.1,60.8,69.3,66.9,13.15,35.0,trace
Chicago,2718782,"$7,300,000,000",Lori Lightfoot (D),2019,2023,Strong mayor,No,No,3,IL,2679080,2697480,-0.0068,11783,227.369,3.0,2695598.0,2714856.0,19258.0,22.0,47.8,73.3,52.1,36.27,125.0,38
Houston,2195914,"$5,100,000,000",Sylvester Turner (D),2016,2024,Strong mayor,No,No,4,TX,2323660,2100280,0.1064,3630,640.194,4.0,2099451.0,2160821.0,61370.0,51.8,68.5,83.6,70.4,47.84,105.0,0.4
Philadelphia,1553165,"$3,950,000,000",James Kenney (D),2016,2024,Strong mayor,Yes,No,6,PA,1585010,1528280,0.0371,11804,134.279,5.0,1526006.0,1547607.0,21601.0,32.3,53.1,77.6,57.2,42.05,117.0,20.8
Phoenix,1513367,"$3,700,000,000",Kate Gallego (D),2019,2025,Council-manager,No,No,5,AZ,1733630,1449040,0.1964,3349,517.673,6.0,1445632.0,1488750.0,43118.0,54.2,70.2,92.8,74.6,8.29,36.0,trace
San Antonio,1409019,"$2,400,000,000",Ron Nirenberg (I),2017,2023,Council-manager,Yes,Yes,7,TX,1581730,1332300,0.1872,3261,485.113,7.0,1327407.0,1382951.0,55544.0,50.3,68.6,84.3,70.7,32.92,82.0,0.7
San Diego,1355896,"$3,200,000,000",Todd Gloria (D),2020,2024,Strong mayor,No,No,8,CA,1427720,1305910,0.0933,4381,325.877,8.0,1307402.0,1338348.0,30946.0,57.8,62.6,70.9,67.6,10.77,41.0,trace
Dallas,1257676,"$2,800,000,000",Eric Johnson (D),2019,2023,Council-manager,Yes,No,9,TX,1347120,1200350,0.1223,3965,339.736,9.0,1197816.0,1241162.0,43346.0,,,,,,,
San Jose,998537,"$3,000,000,000",Sam Liccardo (D),2007,2022,Council-manager,No,No,11,CA,1009340,954940,0.057,5677,177.808,10.0,945942.0,982765.0,36823.0,,,,,,,
Honolulu,983429,"$2,100,000,000",Rick Blangiardi (I),2021,2024,Strong mayor,No,No,57,HI,341302,339121,0.0064,5637,60.544,54.0,337256.0,345610.0,8354.0,73.0,75.6,80.8,80.2,18.29,96.0,0
Austin,885400,"$3,500,000,000",Stephen Adler (D),2015,2023,Strong mayor,No,No,10,TX,1011790,806164,0.2551,3162,319.939,11.0,790390.0,842592.0,52202.0,50.2,68.3,84.2,70.6,33.65,85.0,0.9
Indianapolis,843393,"$1,030,000,000",Joseph Hogsett (D),2016,2024,Strong mayor,No,No,16,IN,887232,821579,0.0799,2454,361.571,13.0,820445.0,834852.0,14407.0,26.5,52.0,75.4,54.6,40.95,126.0,23.9
Jacksonville,842583,"$1,040,000,000",Lenny Curry (R),2015,2023,Strong mayor,No,No,13,FL,929647,823114,0.1294,1244,747.467,12.0,821784.0,836507.0,14723.0,53.1,66.6,81.6,69.4,52.34,116.0,trace
San Francisco,837442,9700000000,London Breed (D),2018,2024,Strong mayor,No,No,17,CA,883255,805505,0.0965,18832,46.903,14.0,805235.0,825863.0,20628.0,49.4,56.2,62.8,61.0,20.11,63.0,trace
Columbus,822553,"$814,000,000",Andrew J. Ginther (D),2015,2023,Strong mayor,Yes,No,14,OH,913921,790943,0.1555,4169,219.197,15.0,787033.0,809798.0,22765.0,28.3,52.0,75.1,54.7,38.52,137.0,28.2
Columbus,822553,"$814,000,000",Andrew J. Ginther (D),2015,2023,Strong mayor,Yes,No,128,GA,198969,191101,0.0412,919,216.479,15.0,787033.0,809798.0,22765.0,28.3,52.0,75.1,54.7,38.52,137.0,28.2
Charlotte,792862,"$2,100,000,000",Vi Lyles (D),2017,2022,Council-manager,No,No,15,NC,912096,738444,0.2352,2969,307.238,17.0,731424.0,775202.0,43778.0,41.7,60.9,80.3,61.7,43.51,112.0,5.6
Fort Worth,792727,"$1,500,000,000",Mattie Parker (R),2021,2023,Council-manager,Yes,Yes,12,TX,942323,748441,0.259,2727,345.584,16.0,741206.0,777992.0,36786.0,,,,,,,
Detroit,688701,"$2,600,000,000",Mike Duggan (D),2014,2022,Strong mayor,Yes,Yes,26,MI,664139,711131,-0.0661,4788,138.715,18.0,713777.0,701475.0,-12302.0,24.5,48.1,73.5,51.9,32.89,135.0,41.3
El Paso,674433,"$801,400,000",Oscar Leeser (D),2021,2025,Council-manager,No,No,22,TX,685434,650671,0.0534,2663,257.42,19.0,649121.0,672538.0,23417.0,45.1,64.6,83.3,64.9,9.43,49.0,5.3
Memphis,653450,"$618,000,000",Jim Strickland (D),2016,2024,Strong mayor,No,No,28,TN,651011,652326,-0.002,2051,317.357,20.0,646889.0,655155.0,8266.0,39.9,62.1,82.5,63.8,54.65,107.0,5.1
Seattle,652405,"$4,400,000,000",Jenny Durkan (D),2017,2021,Strong mayor,Yes,Yes,18,WA,776555,610630,0.2717,9260,83.862,22.0,608660.0,634535.0,25875.0,,,,,,,
