CoC Number,CoC Name,City,CocState
AK-500,Anchorage CoC,Anchorage,AK
AK-501,Alaska Balance of State CoC,Anchorage,AK
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Birmingham,AL
AL-501,Mobile City & County/Baldwin County CoC,Mobile,AL
AL-502,Florence/Northwest Alabama CoC,FLORENCE,AL
AL-503,Huntsville/North Alabama CoC,HUNTSVILLE,AL
AL-504,Montgomery City & County CoC,Montogomery,AL
AL-505,Gadsden/Northeast Alabama CoC,Gadsden,AL
AL-506,Tuscaloosa City & County CoC,Tuscaloosa,AL
AL-507,Alabama Balance of State CoC,Montogomery,AL
AR-500,Little Rock/Central Arkansas CoC,LITTLE ROCK,AR
AR-501,Fayetteville/Northwest Arkansas CoC,ROGERS,AR
AR-503,Arkansas  Balance of State  CoC,PARAGOULD,AR
AR-505,Southeast Arkansas CoC,Pine Bluff,AR
AZ-500,Arizona Balance of State CoC,SAFFORD,AZ
AZ-501,Tucson/Pima County CoC,Tucson,AZ
AZ-502,"Phoenix, Mesa/Maricopa County CoC",MESA,AZ
CA-500,San Jose/Santa Clara City & County CoC,San Jose,CA
CA-501,San Francisco CoC,San Francisco,CA
CA-502,"Oakland, Berkeley/Alameda County CoC",OAKLAND,CA
CA-503,Sacramento City & County CoC,Sacramento,CA
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",SANTA ROSA,CA
CA-505,Richmond/Contra Costa County CoC,Richmond,CA
CA-506,"Salinas/Monterey, San Benito Counties CoC",Marina,CA
CA-507,Marin County CoC,Marin,CA
CA-508,Watsonville/Santa Cruz City & County CoC,Santa Cruz,CA
CA-509,Mendocino County CoC,Ukiah,CA
CA-510,"Turlock, Modesto/Stanislaus County CoC",EMPIRE,CA
CA-511,Stockton/San Joaquin County CoC,Stockton,CA
CA-512,Daly/San Mateo County CoC,Redwood City,CA
CA-513,"Visalia/Kings, Tulare Counties CoC",Hanford,CA
CA-514,Fresno City & County/Madera County CoC,FRESNO,CA
CA-515,"Roseville, Rocklin/Placer County CoC",Roseville,CA
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Redding,CA
CA-517,Napa City & County CoC,Napa,CA
CA-518,Vallejo/Solano County CoC,Fairfield,CA
CA-519,"Chico, Paradise/Butte County CoC",Chico,CA
CA-520,Merced City & County CoC,Los Banos,CA
CA-521,"Davis, Woodland/Yolo County CoC",Davis,CA
CA-522,Humboldt County CoC,EUREKA,CA
CA-523,"Colusa, Glenn, Trinity Counties CoC",Willows,CA
CA-524,Yuba City & County/Sutter County CoC,Marysville,CA
CA-525,El Dorado County CoC,S LAKE TAHOE,CA
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Jackson,CA
CA-527,Tehama County CoC,RED BLUFF,CA
CA-529,Lake County CoC,LAKEPORT,CA
CA-530,"Alpine, Inyo, Mono Counties CoC",Bishop,CA
CA-531,Nevada County CoC,Grass Valley,CA
CA-600,Los Angeles City & County CoC,Los Angeles,CA
CA-601,San Diego City and County CoC,San Diego,CA
CA-602,"Santa Ana, Anaheim/Orange County CoC",Santa Ana,CA
CA-603,Santa Maria/Santa Barbara County CoC,SANTA MARIA,CA
CA-604,Bakersfield/Kern County CoC,Bakersfield,CA
CA-606,Long Beach CoC,Long Beach,CA
CA-607,Pasadena CoC,Pasadena,CA
CA-608,Riverside City & County CoC,Riverside,CA
CA-609,San Bernardino City & County CoC,san bernardino,CA
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Ventura,CA
CA-612,Glendale CoC,Pasadena,CA
CA-613,Imperial County CoC,El Centro,CA
CA-614,San Luis Obispo County CoC,San Luis Obispo,CA
CO-500,Colorado Balance of State CoC,Cortez,CO
CO-503,Metropolitan Denver CoC,Denver,CO
CO-504,Colorado Springs/El Paso County CoC,Colarado Springs,CO
CO-505,"Fort Collins, Greeley, Loveland/Larimer, Weld Counties CoC",Fort Collins,CO
CT-503,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",BRIDGEPORT,CT
CT-505,Connecticut Balance of State CoC,XXX,CT
DC-500,District of Columbia CoC,WASHINGTON,DC
DE-500,Delaware Statewide CoC,Milford,DE
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",Sarasota,FL
