city,state,median household income (dollars)_2019,monthly cost_2019,owner occupied income_2019,owner occupied cost_2019,renter occupied income_2019,renter occupied cost_2019
aberdeen--bel air south--bel air north,md,90166,1388,103767,1463,52866,1285
abilene,tx,51913,864,69349,820,36183,882
aguadilla--isabela--san sebastián,pr,16582,193,20611,172,9248,412
akron,oh,51928,834,67171,866,31352,809
albany,ga,38440,799,56250,844,21425,777
albany,or,70636,1143,88927,1282,46533,1044
albany--schenectady,ny,69713,1121,97706,1292,43027,1022
albuquerque,nm,57603,978,71483,1037,38258,917
alexandria,la,45180,814,57644,730,35826,839
allentown,pa--nj,67895,1176,87374,1259,39182,1102
alton,il--mo,55422,795,64198,797,28775,791
altoona,pa,46981,738,62113,746,29103,722
amarillo,tx,49735,862,66512,904,32821,831
ames,ia,49226,948,82407,1070,32415,927
anchorage,ak,80270,1403,106725,1618,49448,1207
anderson,in,52366,751,63363,687,32767,824
anderson,sc,49098,758,63438,685,28980,819
ann arbor,mi,69999,1189,96728,1327,45225,1115
anniston--oxford,al,41957,735,56260,666,28855,775
antioch,ca,86057,1939,108942,2032,57402,1807
appleton,wi,61590,920,77171,1045,37138,817
arecibo,pr,19210,288,22522,204,11561,440
asheville,nc,53283,972,69502,933,36753,1008
athens-clarke county,ga,44152,922,81788,1058,30334,855
atlanta,ga,72495,1285,95309,1331,48001,1245
atlantic city,nj,62886,1335,85862,1520,34751,1122
auburn,al,38722,744,62273,778,23025,734
augusta-richmond county,ga--sc,56299,925,72896,904,33296,941
austin,tx,80941,1470,111518,1675,56689,1352
avondale--goodyear,az,78920,1395,86467,1386,65433,1407
bakersfield,ca,54215,1127,81058,1306,36395,983
baltimore,md,78589,1417,102021,1513,49399,1333
barnstable town,ma,82412,1519,96183,1560,47677,1370
baton rouge,la,61472,942,84526,982,34538,921
battle creek,mi,43532,738,60935,681,30475,781
bay city,mi,47310,677,55631,657,30982,711
beaumont,tx,58119,856,73901,794,40175,892
bellingham,wa,64413,1255,88332,1402,42460,1174
bend,or,69280,1491,80829,1481,51524,1501
billings,mt,58998,932,71536,1047,38778,844
binghamton,ny--pa,46894,815,70106,895,24583,777
birmingham,al,58251,986,75630,1034,32513,940
bismarck,nd,61919,888,89441,1062,35456,854
blacksburg,va,51662,997,81186,1046,34567,976
bloomington,in,48797,940,81416,928,24743,944
bloomington--normal,il,63418,920,91184,1043,33093,810
boise city,id,68887,1152,86839,1199,45337,1097
bonita springs,fl,77775,1282,87781,1181,50982,1444
boston,ma--nh--ri,93988,1794,124395,2035,56417,1595
boulder,co,79272,1595,118328,1484,50274,1659
