Rank,City,Population (2013),Budget,Mayor,Took office,Term ends,Government type,City elections in 2021?,Mayoral election in 2021?
1,"New York, New York",8405837,"$73,000,000,000",Bill de Blasio (D),2014,2022,Strong mayor,Yes,Yes
2,"Los Angeles, California",3884307,"$8,100,000,000",Eric Garcetti (D),2013,2022,Strong mayor,No,No
3,"Chicago, Illinois",2718782,"$7,300,000,000",Lori Lightfoot (D),2019,2023,Strong mayor,No,No
4,"Houston, Texas",2195914,"$5,100,000,000",Sylvester Turner (D),2016,2024,Strong mayor,No,No
5,"Philadelphia, Pennsylvania",1553165,"$3,950,000,000",James Kenney (D),2016,2024,Strong mayor,Yes,No
6,"Phoenix, Arizona",1513367,"$3,700,000,000",Kate Gallego (D),2019,2025,Council-manager,No,No
7,"San Antonio, Texas",1409019,"$2,400,000,000",Ron Nirenberg (I),2017,2023,Council-manager,Yes,Yes
8,"San Diego, California",1355896,"$3,200,000,000",Todd Gloria (D),2020,2024,Strong mayor,No,No
9,"Dallas, Texas",1257676,"$2,800,000,000",Eric Johnson (D),2019,2023,Council-manager,Yes,No
10,"San Jose, California",998537,"$3,000,000,000",Sam Liccardo (D),2007,2022,Council-manager,No,No
11,"Honolulu, Hawaii",983429,"$2,100,000,000",Rick Blangiardi (I),2021,2024,Strong mayor,No,No
12,"Austin, Texas",885400,"$3,500,000,000",Stephen Adler (D),2015,2023,Strong mayor,No,No
13,"Indianapolis, Indiana",843393,"$1,030,000,000",Joseph Hogsett (D),2016,2024,Strong mayor,No,No
14,"Jacksonville, Florida",842583,"$1,040,000,000",Lenny Curry (R),2015,2023,Strong mayor,No,No
15,"San Francisco, California",837442,9700000000,London Breed (D),2018,2024,Strong mayor,No,No
16,"Columbus, Ohio",822553,"$814,000,000",Andrew J. Ginther (D),2015,2023,Strong mayor,Yes,No
17,"Charlotte, North Carolina",792862,"$2,100,000,000",Vi Lyles (D),2017,2022,Council-manager,No,No
18,"Fort Worth, Texas",792727,"$1,500,000,000",Mattie Parker (R),2021,2023,Council-manager,Yes,Yes
19,"Detroit, Michigan",688701,"$2,600,000,000",Mike Duggan (D),2014,2022,Strong mayor,Yes,Yes
20,"El Paso, Texas",674433,"$801,400,000",Oscar Leeser (D),2021,2025,Council-manager,No,No
21,"Memphis, Tennessee",653450,"$618,000,000",Jim Strickland (D),2016,2024,Strong mayor,No,No
22,"Seattle, Washington",652405,"$4,400,000,000",Jenny Durkan (D),2017,2021,Strong mayor,Yes,Yes
23,"Denver, Colorado",649495,"$1,490,000,000",Michael B. Hancock (D),2011,2023,Strong mayor,No,No
24,"Boston, Massachusetts",645966,"$2,700,000,000",Kim Janey (D),2021,2022,Strong mayor,Yes,Yes
25,"Nashville, Tennessee",634464,"$1,800,000,000",John Cooper (D),2019,2023,Strong mayor,No,No
26,"Baltimore, Maryland",622104,"$1,648,000,000",Brandon M. Scott (D),2020,2024,Strong mayor,No,No
27,"Oklahoma City, Oklahoma",610613,"$1,100,000,000",David Holt (R),2018,2022,Council-manager,Yes,No
28,"Louisville, Kentucky",609893,"$750,000,000",Greg Fischer (D),2010,2022,Strong mayor,No,No
29,"Portland, Oregon",609456,"$3,600,000,000",Ted Wheeler (D),2017,2025,City commission,No,No
30,"Las Vegas, Nevada",603488,"$1,077,000,000",Carolyn Goodman (Nonpartisan),2011,2024,Council-manager,No,No
31,"Milwaukee, Wisconsin",599164,"$590,000,000",Tom Barrett (D),2004,2024,Strong mayor,Yes,No
32,"Albuquerque, New Mexico",556495,"$893,000,000",Tim Keller (D),2017,2022,Strong mayor,Yes,Yes
33,"Tucson, Arizona",526116,"$1,265,000,000",Regina Romero (D),2019,2023,Council-manager,Yes,No
34,"Fresno, California",509924,"$977,000,000",Jerry Dyer (R),2021,2025,Hybrid,No,No
35,"Sacramento, California",479686,"$819,000,000",Darrell Steinberg (D),2016,2024,Council-manager,No,No
