city,Jan,April,July,Oct ,Precip “,precip days,snowfall,rank,usps,pop2021,pop2010,growth,density,aland_sqmi,2010 population,2012 population,Growth / Decline,Rank_y,Population (2013),Budget,Mayor,Took office,Term ends,Government type,City elections in 2021?,Mayoral election in 2021?
Albany,22.2,46.6,71.1,49.3,38.6,136,64.4,,,,,,,,,,,,,,,,,,,
Albuquerque,35.7,55.6,78.5,57.3,9.47,60,11,32.0,NM,562281.0,546755.0,0.0284,3003.0,187.215,545852.0,555417.0,9565.0,32.0,556495.0,"$893,000,000",Tim Keller (D),2017.0,2022.0,Strong mayor,Yes,Yes
Anchorage,15.8,36.3,58.4,34.1,16.08,115,70.8,74.0,AK,282958.0,293321.0,-0.0353,166.0,1706.8,,,,62.0,300950.0,"$471,000,000",David Bronson (R),2021.0,2024.0,Hybrid,Yes,Yes
Asheville,35.8,54.1,73.0,55.2,47.07,126,15.3,,,,,,,,,,,,,,,,,,,
Atlanta,42.7,61.6,80.0,62.8,50.2,115,2.1,37.0,GA,524067.0,429410.0,0.2204,3861.0,135.737,420003.0,443775.0,23772.0,40.0,447841.0,"$533,000,000",Keisha Bottoms (D),2018.0,2022.0,Strong mayor,Yes,Yes
Atlantic City,32.1,50.6,75.3,55.1,40.59,113,16.2,,,,,,,,,,,,,,,,,,,
Austin,50.2,68.3,84.2,70.6,33.65,85,0.9,10.0,TX,1011790.0,806164.0,0.2551,3162.0,319.939,790390.0,842592.0,52202.0,12.0,885400.0,"$3,500,000,000",Stephen Adler (D),2015.0,2023.0,Strong mayor,No,No
Baltimore,32.3,53.2,76.5,55.4,41.94,115,21.5,31.0,MD,575584.0,620915.0,-0.073,7111.0,80.947,620961.0,621342.0,381.0,26.0,622104.0,"$1,648,000,000",Brandon M. Scott (D),2020.0,2024.0,Strong mayor,No,No
Baton Rouge,50.1,66.6,81.7,68.1,63.08,110,0.2,108.0,LA,216328.0,229374.0,-0.0569,2502.0,86.449,229493.0,230058.0,565.0,92.0,229426.0,"$830,000,000",Sharon Weston Broome (D),2017.0,2024.0,Strong mayor,Yes,No
Billings,24.0,46.1,72.0,48.1,14.77,96,56.9,,,,,,,,,,,,,,,,,,,
Birmingham,42.6,61.3,80.2,62.9,53.99,117,1.5,116.0,AL,207235.0,212328.0,-0.024,1419.0,146.076,212237.0,212038.0,-199.0,99.0,212113.0,"$411,000,000",Randall L. Woodfin (D),2017.0,2021.0,Strong mayor,Yes,Yes
Bismarck,10.2,43.3,70.4,45.2,16.84,96,44.3,,,,,,,,,,,,,,,,,,,
Boise,30.2,50.6,74.7,52.8,12.19,89,20.6,101.0,ID,229993.0,209576.0,0.0974,2749.0,83.674,205671.0,212303.0,6632.0,97.0,214237.0,"$514,900,000",Lauren McLean (D),2020.0,2024.0,Strong mayor,Yes,No
